1, 0, 23
1, 1, 24
1, 2, 30
1, 3, 31
1, 4, 31, 7
1, 5, 31, 16
1, 6, 31, 23
1, 7, 31, 33
1, 8, 31, 34
1, 9, 31, 40
1, 10, 31, 41
1, 11, 31, 49
1, 12, 31, 55
1, 13, 31, 58
1, 14, 31, 60
1, 15, 31, 61
1, 16, 31, 63
1, 17, 31, 63, 4
1, 18, 31, 63, 8
1, 19, 31, 63, 12
1, 20, 31, 63, 13
1, 21, 31, 63, 23
1, 22, 31, 63, 25
1, 23, 31, 63, 32
1, 24, 31, 63, 39
1, 25, 31, 63, 48
1, 26, 31, 63, 57
1, 27, 31, 63, 58
1, 28, 31, 63, 60
1, 29, 31, 63, 65
1, 30, 31, 63, 71
1, 31, 31, 63, 75
1, 32, 31, 63, 82
1, 33, 31, 63, 84
1, 34, 31, 63, 87
1, 35, 31, 63, 95
1, 36, 31, 63, 102
1, 37, 31, 63, 105
1, 38, 31, 63, 111
1, 39, 31, 63, 117
1, 40, 31, 63, 118
1, 41, 31, 63, 120
1, 42, 31, 63, 122
1, 43, 31, 63, 124
1, 44, 31, 63, 127
1, 45, 31, 63, 127, 249
1, 46, 31, 63, 127, 254
1, 47, 31, 63, 127, 255
1, 48, 31, 63, 127, 255, 2
1, 49, 31, 63, 127, 255, 8
1, 50, 31, 63, 127, 255, 16
1, 51, 31, 63, 127, 255, 18
1, 52, 31, 63, 127, 255, 22
1, 55, 31, 63, 127, 255, 24
1, 56, 31, 63, 127, 255, 32
1, 57, 31, 63, 127, 255, 37
1, 58, 31, 63, 127, 255, 45
1, 59, 31, 63, 127, 255, 51
1, 60, 31, 63, 127, 255, 60
1, 61, 31, 63, 127, 255, 69
1, 62, 31, 63, 127, 255, 74
1, 63, 31, 63, 127, 255, 81
1, 64, 31, 63, 127, 255, 88
1, 65, 31, 63, 127, 255, 95
1, 66, 31, 63, 127, 255, 97
1, 67, 31, 63, 127, 255, 102
1, 68, 31, 63, 127, 255, 112
1, 69, 31, 63, 127, 255, 120
1, 70, 31, 63, 127, 255, 126
1, 71, 31, 63, 127, 255, 128
1, 72, 31, 63, 127, 255, 129
1, 73, 31, 63, 127, 255, 136
1, 74, 31, 63, 127, 255, 143
1, 75, 31, 63, 127, 255, 149
1, 76, 31, 63, 127, 255, 155
1, 77, 31, 63, 127, 255, 160
1, 78, 31, 63, 127, 255, 164
1, 79, 31, 63, 127, 255, 173
1, 80, 31, 63, 127, 255, 178
1, 81, 31, 63, 127, 255, 181
1, 82, 31, 63, 127, 255, 185
1, 83, 31, 63, 127, 255, 194
1, 84, 31, 63, 127, 255, 196
1, 85, 31, 63, 127, 255, 197
1, 86, 31, 63, 127, 255, 204
1, 87, 31, 63, 127, 255, 205
1, 88, 31, 63, 127, 255, 215
1, 89, 31, 63, 127, 255, 223
1, 90, 31, 63, 127, 255, 228
1, 91, 31, 63, 127, 255, 238
1, 92, 31, 63, 127, 255, 248
1, 93, 31, 63, 127, 255, 250
1, 94, 31, 63, 127, 255, 252
1, 95, 31, 63, 127, 255, 257
1, 96, 31, 63, 127, 255, 258
1, 97, 31, 63, 127, 255, 267
1, 98, 31, 63, 127, 255, 276
1, 99, 31, 63, 127, 255, 277
1, 100, 31, 63, 127, 255, 285
1, 101, 31, 63, 127, 255, 293
