1, 0, 31
1, 1, 31, 57
1, 2, 31, 61
1, 3, 31, 62
1, 6, 31, 63, 122
1, 7, 31, 63, 126
1, 8, 31, 63, 127
1, 9, 31, 63, 127, 10
1, 10, 31, 63, 127, 13
1, 11, 31, 63, 127, 20
1, 12, 31, 63, 127, 29
1, 13, 31, 63, 127, 37
1, 14, 31, 63, 127, 44
1, 15, 31, 63, 127, 52
1, 16, 31, 63, 127, 54
1, 17, 31, 63, 127, 57
1, 18, 31, 63, 127, 61
1, 19, 31, 63, 127, 71
1, 20, 31, 63, 127, 77
1, 21, 31, 63, 127, 80
1, 22, 31, 63, 127, 89
1, 23, 31, 63, 127, 90
1, 24, 31, 63, 127, 94
1, 25, 31, 63, 127, 95
1, 26, 31, 63, 127, 99
1, 27, 31, 63, 127, 109
1, 28, 31, 63, 127, 112
1, 29, 31, 63, 127, 122
1, 30, 31, 63, 127, 132
1, 31, 31, 63, 127, 140
1, 32, 31, 63, 127, 148
1, 33, 31, 63, 127, 150
1, 34, 31, 63, 127, 160
1, 35, 31, 63, 127, 162
1, 36, 31, 63, 127, 166
1, 37, 31, 63, 127, 173
1, 38, 31, 63, 127, 179
1, 39, 31, 63, 127, 187
1, 40, 31, 63, 127, 188
1, 41, 31, 63, 127, 195
1, 42, 31, 63, 127, 199
1, 43, 31, 63, 127, 203
1, 44, 31, 63, 127, 204
1, 45, 31, 63, 127, 209
1, 46, 31, 63, 127, 212
1, 47, 31, 63, 127, 220
1, 48, 31, 63, 127, 226
1, 49, 31, 63, 127, 236
1, 56, 31, 63, 127, 241
1, 57, 31, 63, 127, 248
1, 58, 31, 63, 127, 253
1, 59, 31, 63, 127, 254
1, 62, 31, 63, 127, 255, 6
1, 63, 31, 63, 127, 255, 8
1, 64, 31, 63, 127, 255, 13
1, 65, 31, 63, 127, 255, 22
1, 66, 31, 63, 127, 255, 28
1, 67, 31, 63, 127, 255, 32
1, 68, 31, 63, 127, 255, 38
1, 69, 31, 63, 127, 255, 45
1, 70, 31, 63, 127, 255, 50
1, 71, 31, 63, 127, 255, 58
1, 72, 31, 63, 127, 255, 67
1, 73, 31, 63, 127, 255, 71
2, 0, 31, 63, 127, 255, 81
2, 1, 31, 63, 127, 255, 85
2, 2, 31, 63, 127, 255, 87
2, 3, 31, 63, 127, 255, 90
2, 4, 31, 63, 127, 255, 96
2, 5, 31, 63, 127, 255, 104
2, 6, 31, 63, 127, 255, 106
2, 7, 31, 63, 127, 255, 107
2, 8, 31, 63, 127, 255, 111
2, 9, 31, 63, 127, 255, 116
2, 10, 31, 63, 127, 255, 125
2, 11, 31, 63, 127, 255, 134
2, 12, 31, 63, 127, 255, 135
2, 13, 31, 63, 127, 255, 142
2, 14, 31, 63, 127, 255, 151
2, 15, 31, 63, 127, 255, 154
2, 16, 31, 63, 127, 255, 157
2, 21, 31, 63, 127, 255, 159
2, 22, 31, 63, 127, 255, 169
2, 23, 31, 63, 127, 255, 174
2, 24, 31, 63, 127, 255, 178
2, 25, 31, 63, 127, 255, 188
2, 26, 31, 63, 127, 255, 193
2, 27, 31, 63, 127, 255, 195
2, 28, 31, 63, 127, 255, 201
2, 29, 31, 63, 127, 255, 202
2, 30, 31, 63, 127, 255, 203
2, 31, 31, 63, 127, 255, 204
2, 32, 31, 63, 127, 255, 205
2, 33, 31, 63, 127, 255, 215
1, 92, 31, 63, 127, 255, 217
1, 93, 31, 63, 127, 255, 227
1, 94, 31, 63, 127, 255, 234
1, 95, 31, 63, 127, 255, 237
1, 96, 31, 63, 127, 255, 238
1, 97, 31, 63, 127, 255, 239
1, 98, 31, 63, 127, 255, 240
1, 99, 31, 63, 127, 255, 249
1, 100, 31, 63, 127, 255, 258
1, 101, 31, 63, 127, 255, 267
1, 102, 31, 63, 127, 255, 276
1, 103, 31, 63, 127, 255, 279
1, 106, 31, 63, 127, 255, 285
1, 107, 31, 63, 127, 255, 290
1, 108, 31, 63, 127, 255, 295
1, 109, 31, 63, 127, 255, 303
1, 110, 31, 63, 127, 255, 310
1, 111, 31, 63, 127, 255, 317
1, 112, 31, 63, 127, 255, 320
1, 113, 31, 63, 127, 255, 323
1, 114, 31, 63, 127, 255, 332
1, 115, 31, 63, 127, 255, 333
1, 116, 31, 63, 127, 255, 340
1, 117, 31, 63, 127, 255, 347
1, 118, 31, 63, 127, 255, 353
1, 119, 31, 63, 127, 255, 363
1, 120, 31, 63, 127, 255, 365
1, 121, 31, 63, 127, 255, 366
1, 122, 31, 63, 127, 255, 374
1, 123, 31, 63, 127, 255, 383
2, 34, 31, 63, 127, 255, 390
2, 35, 31, 63, 127, 255, 400
2, 36, 31, 63, 127, 255, 410
2, 37, 31, 63, 127, 255, 411
2, 38, 31, 63, 127, 255, 420
2, 39, 31, 63, 127, 255, 423
2, 40, 31, 63, 127, 255, 430
2, 41, 31, 63, 127, 255, 432
2, 42, 31, 63, 127, 255, 438
2, 43, 31, 63, 127, 255, 441
2, 44, 31, 63, 127, 255, 449
2, 45, 31, 63, 127, 255, 451
2, 46, 31, 63, 127, 255, 452
2, 47, 31, 63, 127, 255, 457
2, 48, 31, 63, 127, 255, 465
2, 49, 31, 63, 127, 255, 474
2, 50, 31, 63, 127, 255, 483
2, 51, 31, 63, 127, 255, 492
2, 52, 31, 63, 127, 255, 502
2, 53, 31, 63, 127, 255, 505
2, 54, 31, 63, 127, 255, 511
2, 55, 31, 63, 127, 255, 511, 9
2, 56, 31, 63, 127, 255, 511, 10
2, 57, 31, 63, 127, 255, 511, 15
2, 58, 31, 63, 127, 255, 511, 25
